unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,IRL,Ireland,BCG,,,,,,,,18,77,74,76,42,41,30,30,34,33,31,31,30,90,90,89,89
LACR,JAM,Jamaica,BCG,99,98,97,99,97,93,93,96,99,90,93,95,95,95,94,92,87,90,95,90,88,90,96,94
Non-programme,JPN,Japan,BCG,97,98,98,95,97,99,93,98,84,93,93,95,94,99,94,90,94,,,,,,,
MENA,JOR,Jordan,BCG,90,86,81,76,86,94,99,99,98,95,98,96,95,95,95,95,90,95,89,58,67,29,,
ECAR,KAZ,Kazakhstan,BCG,93,93,94,93,87,95,95,95,95,95,95,95,96,96,96,97,99,99,69,65,99,99,95,98
ESAR,KEN,Kenya,BCG,90,94,94,97,96,93,87,97,87,94,92,97,99,99,99,98,92,92,85,87,87,91,94,91
EAPR,KIR,Kiribati,BCG,96,96,96,93,92,90,89,79,79,72,86,95,86,87,76,83,90,91,93,94,91,88,85,80
MENA,KWT,Kuwait,BCG,99,99,99,98,97,96,99,96,99,99,99,97,99,98,99,99,94,84,,,,,,
ECAR,KGZ,Kyrgyzstan,BCG,95,97,97,96,96,97,97,97,97,97,98,98,98,98,98,99,98,99,96,98,99,99,99,96
EAPR,LAO,Lao People's Democratic Republic,BCG,93,90,80,90,85,92,91,89,89,89,87,85,78,72,67,68,56,61,65,60,65,65,60,69
Non-programme,LVA,Latvia,BCG,98,99,96,99,96,95,96,96,93,92,94,94,93,92,96,95,95,95,97,98,97,99,99,99
ESAR,LSO,Lesotho,BCG,68,85,96,96,96,96,96,96,95,97,98,93,87,90,92,95,95,95,96,96,96,90,83,88
WCAR,LBR,Liberia,BCG,82,67,81,85,84,92,87,81,74,73,87,85,85,73,87,85,77,77,76,60,64,69,73,78
MENA,LBY,Libya,BCG,74,74,74,74,74,74,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98
Non-programme,LTU,Lithuania,BCG,93,93,93,96,97,96,97,98,97,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99
